name,place,rtaf_tel,rta_tel,note
กองทัพภาคที่ 1,,,,
บก.ทบ.,ราชดำเนิน,0855323560-74,97000 97004,
รร.กรมข่าว,ถนนพระอาทิตย์, ,89800 89866 85825,
กอ.รมน.,สวนรื่นฤดี,0855322141,95200,
รพ.พระมงกุฎเกล้า ,อนุสาวรีย์ชัยฯ,08553236689,936623,
ขส.ทบ.,สะพานแดง,,,0811494186 จ.ตรีเทพ
สพ.ทบ.,สะพานแดง,,,
พล.ปตอ.,เกียกกาย,,,
รสก.ทบ.,สามเสน, ,96395,
พล.ม.2,สนามเป้า,0855323670,95050,0922659936 จ.ร่ม
นรด.ชั้น 3,พระนคร, ,92000 92001,0805566659 จ.แม็ก
ร.11 รอ.,บางเขน, ,68900 68700 689826,
ยย.ทบ. ,บางเขน, ,90700 90874,
ส.1,กระทุ่มแบน,0855303070,96700 96777 96724,0989405128 จ.รังสรรค์
ส.พัน.1 รอ.,ทุ่งมหาเมฆ,,82840,
สถานตากอากาศบางปู กพผ.พธ.ทบ.,สมุทรปราการ,,,0801380254 พี่ตุ๋น 0846400634 พี่ภาณุพงษ์
รร.จปร. ,นครนายก, ,62646 954101,จ.ส.อ.สุทนธ์ 
นปอ.ทบ.,ดอนเมือง, ,53600,0643250436 พี่ท๊อป
พธ.ทบ.,นนทบุรี,08553236556,68200 68299,0855094478 025884703
ร.1 พัน.2,แจ้งวัฒนะ, ,69998,
มทบ.11 ,แจ้งวัฒนะ,,,0825801251 จ.จิ๊บ
สพบ.พล.1 รอ.,แจ้งวัฒนะ, ,69800 69813,
ศซท.สพ.ทบ.,ปุทุมธานี, ,69600 69609,0994259162 พี่โน๊ต
รร.ขส.ทบ.,ปทุมธานี, ,86200,
ศปภอ.ทบ.1,วังน้อย, ,69100,0925199328 พี่โต๋
กวรบ.สพ.ทบ.,อยุธยา, ,65828 94786 95537,จ.ส.อ.อานนท์ สุขร่าง 098-4157925 จ.ส.อ.สิรภพ  ใจกล้า 081-9457996
รง.ซย.กรซท.ศซส.สพ.ทบ.,อยุธยา, ,65600,0878205523 จ.พีรภพ
มทบ.18 (จทบ.ส.บ.),สระบุรี, ,64100 64133,0843403191 พี่ปุ้ม
ม.พัน. 11 ,สระบุรี,,64600 64613,0892415202 ร.ท.ดำรง
กคย.สพ.ทบ.,สะบุรี,,,0922613699 จ.มอส 0969641586 จ.แอ้ม
มทบ.13,ลพบุรี,085312368-9,37000 37200 373015,0815872614 ส.พีรสิทธิ์
รพศ.1 ,ลพบุรี, ,33500,0881165544 จ.อภิชาติ มีมั่นคง
พัน.ปพ.รอ. ,ลพบุรี,,,0983059585 จ.วิวัฒนา
รพ.อานันทมหิดล ,ลพบุรี,085301260-12,38000,0638754908 จ.วีระพล
ศป.,ลพบุรี,036486220,39299 39071 39280,0844613141 ร.ท.บรรลุ 0855483521 ร.อ.ณัฐพงษ์ 
พล.ป.,ลพบุรี,,35000,0813649313 พี่อ้วน
ศบบ.,ลพบุรี, ,39452,0957292255 ส.ภาณุ (แจ๊ส)
ศฝยว.ทบ(ม่วงค่อม),ลพบุรี, ,65200 65247 ,0870565965 จ.จรัญ ทองดี
มทบ.16 (จทบ.ร.บ.) ,ราชบุรี, ,53000 53100,
พล.ช.,ราชบุรี, ,52100 52000,
ผ.6 คส.สพ.ทบ.,ราชบุรี, ,532589,
พล.พัฒนาที่ 1,ราชบุรี, ,52400 52500,
กส.ทบ.,นครปฐม,0855523692,50500,096-3979980 ร.ต.ณัชธญพงศ์  วรวิชโรจน์
มทบ.17 (จทบ.ก.จ.),กาญจนบุรี,0855523688-91,510424  513289,0614296177 พี่หนุ่ม
พล.ร.9 ,กาญจนบุรี, ,51500 5146070,0641636429
ศร.,ประจวบคีรีขันธ์,032542463,54000 54288,พี่โอฬาร
รพ.ค่ายธนะรัชต์ ,ประจวบคีรีขันธ์, ,54400 54403,
รร.นส.ทบ.,ประจวบคีรีขันธ์,0855591325,54600 54601 ,0899196202 จ.อัศวิน
มทบ.15 ,เพชรบุรี, ,50200 50261,
ร.11 พัน.3,เพชรบุรี, ,50120 50100,
พล.ร.11,ฉะเชิงเทรา,0855422011,63015 63111,0890985467 จ.ศรชัย
ช.พัน.2 รอ.,ฉะเชิงเทรา, ,631256 63200,0822716394 จ.บอล
บชร.1 ,ชลบุรี, ,69300,0923725375 จ.จักรกฤษ
มทบ.14,ชลบุรี, ,667989 66462,จ.ส.อ.ไพโรจน์  ชมเชยเกียรติ
มทบ.12,ปราจีนบุรี,0855623693,61297 631724 61072,0862551884 พี่เหน่ง 0611793353 พี่เคท
พล.ร.2 รอ.,ปราจีนบุรี,0855623697-9,63300 63333,0864254158 ส.วัลลภ
กกล.บูรพา,สระแก้ว,,63700,0865518414 พี่บั้ม 0990683663 ส.ธี ส.พัน2 0871286119พี่อาร์ม948
ร.12.พัน.2 รอ.,สระแก้ว,,60500,0926865291 จ.วุธ1150 0961348242มว.เป้ 0854145203 แมน
มทบ.19 (จทบ.ส.ก.) ,สระแก้ว,,60800 60824,
ร.12.รอ.,สระแก้ว,,60600,0954616698 จ.ส.อ.พร้อมพงษ์ จนท.สส.ทหาร ร.12 รอ.
